text,emoji
Let's learn sign language,🤟✋❤️🗣️🧠
Let's lock it in,😙👌🔒✅
Let's make a deal,🤝💼💰✅
Let's make a short film,🎬🎥🎞️🌟🏆
Let's make a time capsule,📦🕰️✍️
Let's make homemade pasta,🍝🧑‍🍳🥚😋
Let's order pizza or sushi,📲🥡🍕🍣
Let's order takeout,📲🥡
Let's party,🎉🥳💃
Let's plan that hike soon!,🌲🚶🗓️
Let's play board games,🎲♟️🃏🧑‍🤝‍🧑🎉
Let's play Dungeons and Dragons,🎲🐉⚔️🧙‍♂️
Let's set a date,🗓️✍️🤝
Let's solve a mystery,🕵🔎💡❓👣
Let's squad up and grind levels?,🎮🤝📈
Let's squad up for the tournament?,🎮🤝🏆
Let's squad up later?,🎮🤝⏰
Let's start a book club,📚🗣️🧑‍🤝‍🧑☕️🤔
Let's start over,🔄🤝😊💖
Let's study together after class?,📚🤝⏰
Let's take a picture,📸🤳😎😊
Let's try to break a world record,🏆🥇💪🔥🤯
Let's try urban exploring,🏙️🏚️🔦🤫
Let's unpack this,🧳🤔
Let's visit a botanical garden,🌸🌷🌳🦋🌺
Let's visit a haunted house,👻🎃😱🔦🏚️
Let's watch a movie,🎬🍿🛋️
Let's watch a movie tonight?,🎬🍿🤝
Let's write a song together,🎶✍️🎸🎤❤️
Let's write letters to our future selves,✍️✉️🕰️🔮😌
Lets embrace the chaos,🤪🌪️
Lets get crazy and party hard,🤪🥳🎉
Lets get weird and wild,🤪🎉🥳
Letting go,👋🎈😌✨
Liar liar pants on fire.,🤥👖🔥
"Life is a journey, not a destination.",🚗🗺️👣🌄🏞️
"Life is short, eat the dessert first.",🍰🧁🍩😋🙌
"Life is short, make every hair flip count.",💁‍♀️✨😎💖💯
"Life is tough, but so are you.",💪🔥💎💯😎
"Life's a beach, enjoy the waves.",🏖️🌊🏄‍♀️😎💯
Like a peanut butter and jelly sandwich,🥜🍇🥪❤️💯
Like and share,❤️🔄👍
Link in bio,🔗👀👇
Listening to a vinyl record,🎶⚫️🔊😌
"Live concert tonight, so excited",🎤🎸🥁🎶
Live in the moment,✨😌💖🧘
Live life to the fullest,😎💖💯
Living in a fairytale castle,🏰👸🤴✨🦄
"Living in a fairytale, feeling like a princess.",👑🏰✨💖🦄
Living in my delulu era,🤪💭💖
Living my best life,✨😎
Living my best life rn,✨😎☀️
Living out of a suitcase,🧳✈️🌍🏨
Living rent-free in my head,🧠💭
Living rent-free in my head 24/7.,🧠🏠🆓🤯🔄
Locked myself out of my flat,🤡🔑🤦
Locked myself out oh no,🤡🔑🤦
London is calling my name,🇬🇧📞💂‍♀️🚌👑
Lone wolf,🐺🚶
Long day need sleep,😴🌙💤
Long day need sleep right now,😴🌙💤
Long time no see,👋👀⏳😊
Look out behind you quick,🫵😨🏃
Look out danger is coming,⚠️😨🏃
Look out danger is very near,⚠️😨
Looking dapper,🤵✨😍
Losing aura points,📉😬
Lost in a good book and a warm cup of tea.,📚🐛🤓☕️❤️
Lost in Tokyo's city lights,🏙️🌃🚦🚶🇯🇵
Love at first sight,😍👀❤️✨
Love life,❤️😊💯
Love the outdoors,🌳☀️😌
Love yourself,❤️🥰💖🙏
Low key anxious about the presentation,✨😟🎤
Low key dreading Monday morning,✨😟🗓️
Low key excited for the new season,✨😌📺
Low key excited for the party,✨😌🎉
Low key hyped for the concert,✨😌🎤
Low key hyped for the weekend,✨😌🗓️
Low key nervous about the results,✨😟🤞
Low key obsessed with this song,🎶🎧😌
Low key stressed about the future,✨😟🔮
Lowkey kinda nervous about this,😅👉👈
Lowkey wanna stay home,🤫🏠
Lunar New Year celebrations,🏮🧧🎉
Lunch time,🥪🍎😋
Lying again,🤥🙄
Made a complete fool of myself,🤡🤦😅
Made it,🙏🏃💨
Main character energy,✨👑😎
"Main character energy all day, every day.",👑😎✨💖💯
Main character energy fr,✨👑😎
Main character energy right there,✨👑
Major flex with the new haircut,💪💇‍♂️✨
Major flex with the scholarship,💪🎓✨
Major flex with those grades,💪📝✨
Make it happen,💪🔥🚀💯
Make someone smile today.,😊💖🤗☀️😄
"Make today so awesome, yesterday gets jealous.",💥🎉😎➡️😉
Making a vision board,📌🖼️✨🔮🙏
Making bank,💸💰
Making homemade pickles,🥒🌿😋
Making progress,📈💪🏃✅
Manifesting an A on this paper,🙏✨📝
Manifesting good grades,✨🙏📚
Manifesting good things,🪄🔮✨
Manifesting my best life,✨🙏
"Manifesting my best life, watch me.",✨🔮🙏💖💯
Maple syrup on my pancakes,🥞🍁😋🍽️
Mariachi band playing music,🎸🎺🎻🎶
Marine animals,🐠🐙🦈
Marveling at the Great Pyramids,🔺🤯☀️🇪🇬
Matryoshka nesting dolls,🪆🪆🪆🪆
May your days be merry and bright.,🎄✨😊💖☀️
Maybe later,🤔⏰🤷
Me after watching one tutorial video,🧑‍🔧🔨
Me curating my Instagram feed,🎨📱✨
Me curating the perfect playlist,🎶🎧
Me curating the vibe for the road trip,🎶🚗✨
Me dissociating during family dinner,😶‍🌫️🌌🍽️
Me dissociating during this lecture,😶‍🌫️😵‍💫
Me dissociating while doing chores,😶‍🌫️😵‍💫🧹
Me doomscrolling at 3 AM,📱😵‍💫💀
Me doomscrolling political news,📱😵‍💫🏛️
Me hyperfixating on a new hobby,🤩🔍
Me ignoring the problem,🕳️🧑‍🦯
Me imposter-syndroming my way through life,🎭🫠
Me living vicariously through their travel pics,✈️🤩
Me maladapting with online shopping,🫠🤡💸
Me manifesting a good grade on this test,🙏✨
Me manifesting a parking spot,🙏🚗
Me overthinking if I locked the door,🤔🔑
Me overthinking their reply,🤔💬⏳
Me overthinking this text message,🤔💬
Me people-pleasing again,😊🫠
Me people-pleasing yet again,😊🫠🤦
Me pretending I know what's going on in the mtg,🤠👍
Me pretending to understand the lecture,🤠🤔📝
Me procrastinating by cleaning my entire room,🧹😅
Me procrastinating by doomscrolling,📱😅🫠
Me procrastinating by planning my procrastination,📝😅🫠
Me romanticizing doing laundry,✨🧺🫧
Me romanticizing my walk to get coffee,✨🚶☕️
Me romanticizing studying,✨📚☕️
Me spiraling about the future,🌀😭😨
Me spiraling over a minor inconvenience,🌀😭
Me spiraling over a typo in an email,🌀😭📧
Me stalking my crush's playlist,👀📱🎶
Me stalking the delivery tracker,👀📱📦
Me time is the best time,😌💖🙏🧘
Me trying to adult and failing,📉🤡
Me trying to adult and pay bills,🧾🫠😭
Me trying to adult by cooking a real meal,🧾🫠🍳
Me trying to adult responsibly,🧾🫠
Me trying to assemble IKEA furniture,😵‍💫🔨❓
Me trying to be zen,🧘🫠
Me trying to be zen in traffic,🧘🫠🚗
Me trying to budget my money,💸😭📉
Me trying to declutter my digital footprint,💻🗑️
Me trying to declutter my email inbox,🗑️🫠📧
Me trying to declutter my life,🗑️🫠
Me trying to declutter my notifications,💻🗑️🤯
Me trying to declutter my room,🗑️🫠😩
Me trying to explain,🗣️🧱
Me trying to flirt,👉👈😅
Me trying to flirtatiously banter,😉😅
Me trying to get my life together,✨🫠
Me trying to initiate small talk,👉👈💬
Me trying to keep my plants alive,🌱🫠
Me trying to manifest clear skin,✨🙏🧖
Me trying to manifest good vibes only,✨🙏😌
Me trying to manifest less screen time,✨🙏📱
Me trying to meal prep fancy lunches,🥗🫠🍱
Me trying to meal prep for the week,🥗🫠
Me trying to meal prep healthy food,🥗🫠😩
Me trying to network,🤝😅
Me trying to network without being awkward,🤝😬
Me trying to parallel universe hop,🌌✨
Me trying to parallel universe hop to Friday,🌌✨🗓️
Me trying to parallel universe where I'm rich,🌌✨💸
Me trying to read the room failed,👀🤔🤦
Me trying to save money but sales exist,💸🫠
Me trying to set boundaries,🙅💪
Me trying to set boundaries politely,🙅💪😊
Me trying to stay hydrated,💧🫠
Me trying to stay hydrated is a joke,💧🫠😂
Me trying to touch grass,🌳🚶
Me trying to use chopsticks,🥢😅
Me trying to vibe check the room,🤔👀
Me word-vomiting in my journal,🗣️📝
Me zoning out completely,😶‍🌫️🌌
Meal prepping to eat healthy foods,🥕🥦🍗✅
Medieval castle,🏰⚔️
Memories for life,💖✨📸🖼️
Merry Christmas,🎅🎄🎁
Message in a bottle found,🍾💌🌊🏝️🙏
Messed it all up,😭🤦
Mewing,🤫🧏
Mic drop.,🫳🎤
Mid-century modern furniture,🛋️🕰️✨
Might ask them out later,🫣👉👈
Miss hanging out sm,🥺💖✨
Miss hearing your voice!,😢📞❤️
Miss our chats!,😢💬❤️
Miss our coffee dates!,😢☕️❤️
"Mission control, we are a go",🚀🧑‍🚀🛰️🌎✅
Mission to Mars is a go,🚀🪐
Monday blues,💙😩💻
Morning yoga session,🧘🌅☀️😌🙏
Motivation has left the chat,📉😴
Movie marathon time!,🎬🍿🛋️
Movie night,🎬🍿🛋️
Moving on,🚶➡️💖✨
Moving on to better things,👋➡️💖✨
Museum day,🏛️🖼️🎨🤔
Mushroom tea,🍵🍄
Music lover,🎶🎧🎵
My aura is definitely off today,☁️😔
My bank account is weeping,📉💸😭
My battery is drained,🔋📉
My best friend is getting married!,👰‍♀️💍🎉
My bike got a flat tire,🤠🚲💥
My brain cells are leaving,🧠➡️🚪
My brain feels like scrambled eggs,🧠🍳😵‍💫
My brain has too many tabs open.,🧠💻🤯📂😵
My brain hurts from study,🤯💥📚
My brain is completely fried,🧠🍳😵
My brain is officially offline,🧠🔌😴
My brain is running on empty,🧠⛽️😴
My brain needs a reboot after that,🧠🔄😴
My brain needs a vacation,🧠🏖️😴
My car broke down,🤠🚗💥
My car broke down in the middle of the highway during rush hour.,🚗💥😠😤😫
My cat is sleeping on me,🐈😴❤️🥰🐾
My commute to work was a nightmare this morning.,🚗😠😤😫
My computer needs to be updated,💻🔄⏳🙄
My condolences,🙏💔😢
My crypto investment went bust,📉💸💀
My crystal collection is growing,💎🔮✨
My digital art tablet is my life,✍️🎨🖥️💡✨
My dog ate my homework,🐶📄😩😂🤷
My dog figured out how to open the pantry door.,🐶🐾🚪🍪
My favorite coffee blend is discontinued.,😭☕️💔
My favorite team won,🏆🎉🥳🥇💪
My favorite team won the championship game!,⚽️🏆🎉🥳🙌
My feelings are validated,✅💖
My flight got delayed,✈️😤⏳
"My flight was delayed for hours, so frustrating.",✈️🕰️😠😤😒
My fur baby is the cutest pet in the whole world.,🐶🐾❤️🥰😴
My garden has been completely overrun by snails and slugs.,🐌🐛🌿😭
"My garden is finally starting to bloom, so beautiful!",🌸🌺🌻🌷🦋
My garden is finally starting to grow tomatoes!,🌱🍅☀️🧑‍🌾😊
My glow up journey,✨🦋💅
My grades took a serious dive,📉😭📚
My hamster is running on his wheel,🐹🎡🏃
My heart feels so warm and fuzzy right now.,🥰💖😊
My heart hurts so much today,😔😭💔🫂
My heart is full,❤️🥰😌🙏
My heart is overflowing with happiness.,🥰💖😭
My heart is so full of gratitude right now.,🥰💖🙏
My inner child is thriving,🌱💖😊
My inner child just wants cartoons,🧒💖📺
My internal monologue is wild,🧠💬🗣️🤪😂
My life is upside down right now,🙃🌍🤪
"My lips are sealed, I swear",🤫🤐🤞
My lucky number came up,🍀🎉💰✨
My mind is blown right now,🤯💥😮
My moon sign is Cancer,♋️🌕
My neck is so stiff from staring at the screen.,😩💻🚶
My new ergonomic keyboard,⌨️🖱️💪😌✨
My new hobby is collecting stamps,💌📮🌍🔎
My new minimalist apartment,🏠🌱
My new watercolor paints are so vibrant.,🎨😍🌈✨
My other half,❤️🥰💑🌗
My parents are being boomers rn,🙄👴👵
My pet lizard needs a heat lamp,🦎🔥💡
My pet snake shed its skin,🐍✨
My pet tarantula is creepy,🕷️🕸️😬
My phone battery is about to die.,📱🔋😩
My phone battery is dying,📱🔋📉😩🔌
My phone is almost out of storage,📱💾📉😩
My plants are thriving,🌱🌿☀️💧😊
"My power is out, using candles",🕯️💡🚫
My ride or die,🚗💀🤝💯
My rizz is nonexistent today,📉😬🤷
My robot vacuum is cleaning,🤖🧹🏠✨😌
My savings account is now zero,📉💸💀😭
My self care Sunday plan,✨🛁💖😌
My sign is Leo,♌️✨
My sister just had a baby girl!,👶🎀
My sleep schedule is chaotic,😴😵‍💫
My soulmate,❤️🥰💑♾️
My sourdough starter is bubbly,🍞🌬️😋
My succulents are finally thriving after I nearly killed them.,🌵🌱☀️💧🙌
My team is collaborating on a complex machine learning project.,🤖💻🤝🧠💡
My team won the championship!,🏆🎉🥳
My team won the trivia night at the bar!,🍻🏆🤓🎉
My terrarium needs watering,🌱💧🌿
My therapist will hear about this,🧑‍⚕️📝
My train got delayed... again.,🙄😩🚂
My wallet is crying,💸😭
My world turned upside down fast,🙃🔄😵
My zen garden is peaceful,🧘
Nature lover,🌲🌳🌿
Need a break,😩✋☕️🧘
Need a break from studying,🧠🤯😩
Need a good cry sometimes,😭😢❤️‍🩹
Need a good laugh,😂🤣🙏
Need a hug right now,🫂🥺❤️
Need a serious caffeine boost this morning.,☕️😴🙏
Need a strong coffee to survive this Monday.,☕️😴🙏
Need a vacation,😩✈️🌴
Need a vacation badly.,😩✈️☀️
Need all the coffee this morning.,☕️😴🙏
Need coffee immediately please help,☕️😩🙏
Need coffee stat,☕️🏃💨
Need help,🆘🙏🙋‍♀️
Need more sleep,😩😴🛌💤
"Need snacks, feeling hangry",😩🍪🍫
Need some chocolate therapy,🍫😋❤️‍🩹
Need some motivation,💪🔥🙏
Need some retail therapy,🛍️💸😌
Need some serious comfort food,🍔🍟❤️‍🩹
Need that summer glow up asap,✨☀️💪
Need to apologize for what I said,😔🙏❤️‍🩹
Need to catch up on chores,🧺🧹😩
Need to catch up on emails,📧💻😩
Need to catch up on reading,📚🤓😩
Need to catch up on sleep,😴😩🙏
Need to cram for this exam,📚🧠🔥😩
Need to focus and get this done,🎯💻💯
Need to grind,📚🏃💨
Need to let it go,❤️‍🩹🙏😌
Need to Marie Kondo my entire apartment.,✨🧹📦
Need to practice mindfulness,🧘🙏😌
Need to pull an all-nighter,📚🧠☕️😩
Need to relax,🧘😌🛁🕯️
Need to sleep brb,😴🏃💨
Need to walk the dog brb,🐕🏃💨
Netflix and chilling,🛋️📺😌
Never forget this,💖✨🧠🔐
Never give up,💪🙏💯
Never stop learning,📚🧠💡✨
New beginnings,🌱✨🆕💖
New chapter,📖🆕✨😊
New hair,💇‍♀️💁‍♀️✨
New outfit,👗👠✨
New post,🆕📲📸
New puppy!,🥰🥺🐶
New video game release,🎮🕹️🎉🤩🔥
"New year, new me. Let's make it a good one.",🎉🥂✨🗓️💪
New York City,🗽🍎🚕🏙️
New York City is the city that never sleeps,🗽🌃🍎🚕🤯
Night owl,🦉🌙💻✨
No hard feelings,😊🤝👍☮️
No problem,👍😎💯
"No thoughts, head empty",🧠💨
"No worries, it's all good here",😅👍💯👌
Not listening.,👉😀👈
Not me doing this again,🤦🔁😂
Noted,📃✍️🧐
Nothing beats a classic movie night with popcorn and candy.,🎬🍿🍫🛋️❤️
NVM,☝️😮✊😐
Officially entering my villain era,😈🖤
Officially homeowners!,🏡🔑🎉
Oh my god,😱🤯😮
Oh really you think so huh,👍🤔🙄
Oh sure thats totally believable,👍🙄🤥💯
Oh you think thats a good idea?,🙃🫠
"Oh, Canada",🇨🇦🍁❤️🏔️🏒
Okay I understand the assignment,📃✍️👌
Okay I'm leaving for real now,🚪🚶💨👋
"Okay message received, understood",📃✍️🔊✅
"Okay noted, will follow up asap",📃✍️✅➡️
Okay okay you win this time,🙄🤝🏆😮‍💨
Okay whatever you think best,👍🙄🤷
"Okay, I'll get it done.",👍😅📝
Oktoberfest in Germany,🇩🇪🍺🥨🎉🍻
Old ways won't open new doors.,🗝️🚫➡️🚪🆕
Omg thank youuuu!!!,🙏✨😭
Omw home,🚗💨🏡😌
"OMW, be there in 5",🏃💨⏱️
On a call,📞🗣️💬
"On a new level, unlocked a new me.",🔓🆕😎💪✨
On a quest to slay the dragon,⚔️🔥🐉👑
"On a seafood diet, I see food and I eat it.",🍤🦞🦀😂😋
On cloud nine right now,☁️9️⃣😊✨
On my way,🚗💨🏃
On my way to steal your girl,🚶😏😉💖😂
On the bus,🚌💨🏙️
On the train,🚆💨🏙️
On to the next,➡️👋😎💯
On top of the world,🌍🔝⛰️💪😎
"On Wednesdays, we wear pink.",💖👚💁‍♀️💅💯
One hundred percent I agree,💯👍
One small step for man,🧑‍🚀🌕👣🇺🇸✨
One step at a time,👣➡️🏁🏆
ONG that was close,😮‍💨🙏😅
"Oops, my bad",😅😬🙏
OOTD,👕👖👟
"Out of the blue, it happened",💥😮🔵✨
Paella is a must-try dish,🥘🦐🍋🍚
Painting a beautiful landscape,🎨🖼️🌳⛰️☀️
Pandas love bamboo,🐼❤️🎋
Panicked,😳🏃
Paranormal activity,👻🔦🏚️😱🕵
Parkour over city obstacles,🏃🏙️🧱🤸
Partner in crime,😈😎🤝😂
Party time lets celebrate now,🥳🙌🎉
"Pass the mic, who wants it",🎤➡️❓
Passed my finals yes,💅🎓💯
Passive aggressive again sigh,🙃👍🙄
Passive aggressive via text,📱🙃🙄
Passport and tickets ready,🛂✈️🎟️✅
Patience is key,🔑⏳😌🙏
Peace and love,☮️❤️🤗
Peace of mind,☮️🧠😌🙏
Perfect lazy Sunday afternoon nap.,😴🛋️☀️
"Perfect, let's lock it in now",😙👌🔒📅
Pet love,🐶❤️🐱
Picnic day,🧺🍎🧀🥖☀️
Pizza and movie night!,🍕🎬🛋️
Pizza in Italy is the best,🍕😋🔥🧑‍🍳🇮🇹
Pizza lover,🍕❤️😋
Planning a huge surprise party for my best friend's birthday.,🎉🤫🥳🎂🎁
Planning a surprise party,😈🎉
Planning a surprise trip,🌚😈✈️
"Plant mom life is the best life, my green babies are thriving.",🌿🌱🌵💚🧑‍🌾
Play hard,🎉🥳😎
Please can I have a ride,🥺🙏🚗
Please forgive me,🙏😢❤️
Please forgive my mistake,🥺🙏💔
Please I really need this favor,🥺🙏✨💖
Please just one more final chance,🥺🙏⏳🤞
Plotting my next big adventure,🌚🗺️😈
Plotting my next big move,😈
Pls help,🥺🙏🆘😭
Pool party time,🏊‍♀️☀️😎💦
Popped off during karaoke,💥🗣️🎤
Popped off in that debate,💥🗣️
Pottery class,🏺✋💦🎨✨
Practicing my affirmations,🗣️✨
Pretty please with sprinkles,🥺🙏✨
Protect them at all costs,🙏💖
Protect your peace at all costs.,☮️🙏😌💯
Pulling an all-nighter,📚☕️😵‍💫
"Pumpkin spice and everything nice, fall is here!",🎃🍂🍁☕️🧡
Puppy love,🐶❤️🥰🥺
Puzzled,🧩🤔🤯😠💡
Quit lying,🤥😠
Rain on my parade,😔🌧️😭
Rainy days are for staying in and being cozy.,🌧️☔️🛋️☕️📚
Read the room,👀🤔
Reading a book of poetry,📖✍️❤️🤔
Ready for my trip to Japan,🇯🇵✈️🌸🍣🗼
Ready for the weekend,🎉🥳
Redemption arc,✨🙏
Rejection therapy,😊🫠🤦
Relax and unwind,😌🧘🛁🕯️
Relaxing at home,🏡😌
Relaxing on the beach,☀️🏖️😌
Relaxing on the beaches of Mexico,🏖️☀️🍹🌴🇲🇽
Relieved to get that over with,😌😮‍💨✅
Restaurant has amazing food,🍽️😋💯
"Restoring an old, faded painting",🖼️🖌️🕰️✨👨‍🎨
Riding a camel through the desert,🐪🏜️☀️
Riding a double-decker bus in London,🚌💨🏙️🇬🇧
Riding the Trans-Siberian Railway in Russia,🚂❄️🌲🏞️🇷🇺
"Rise and grind, it's time to work.",☀️💪💼💻💯
Road trip,🚗🛣️🗺️
Road trip across the USA,🇺🇸🚗🌉🗽🏜️
Road trip through the Australian Outback,🚗🦘🇦🇺
"Road trip with the besties, let's go!",🚗💨🛣️😎👯
Romantic gondola in Venice,🛶❤️🇮🇹
"Roses are red, violets are blue, I love you.",🌹💙❤️😘
Running late,🏃💨⏰😩
Running with the bulls in Pamplona,🐂🏃💨🇪🇸
Sailing down the Nile River,⛵️🐊🌅🇪🇬
"Salty air, sun-kissed hair, don't care.",🌊☀️😎💁‍♀️
Scared of ghosts,👻🤫🚪👀
Scavenger hunt,🗺️🔎🤔🎁🎉
Scored tickets to the concert,🎶🎟️🤩
"Search me, I don't have any clue",🤷🤷❓
Searching for extraterrestrial life,👽🛸🔭🌌🤔
Searching for leprechauns,🎩🍀💰🌈
Searching for Planet Nine,🪐🔍
Secret double life,🌚😈🦸‍♂️
Secret evil plan,🌚😈🗺️
Secret identity,🌚😈🦸‍♂️
"Secret safe with me, I promise",🤫🤞🤐🤝
See you soon,👋👀⏰
See you tomorrow,👋🗓️👀😊
Self-care is key,🧘✨
Selfie time,🤳📸😎
Send help,🙏🆘
Sending a postcard from here,💌✍️🖼️📮🌍
Sending good vibes,✨💖🙏😊
Sending good vibes only,✨💖
Sending hugs,🤗💌❤️
Sending hugs and lots of love.,🤗❤️😘💌
Sending love,❤️💌
Sending positive energy your way,✨🧿❤️
Sending prayers,🙏💌
Sending virtual hugs,🤗💖
Sending you a virtual high five!,✋🙏✨
Sending you all the good luck vibes!,✨🤞🍀
Sending you all the positive vibes!,✨💖🙏
Sending you love and light during this time.,💖✨🙏
Sending you peace and healing energy.,🕊️✨🙏
Sending you positive energy,✨🙏
Sending you so much love and support.,💖🫂🙏
Sending you strength and positive thoughts.,💪✨🙏
Sent out the wedding invitations,💌💍🎉
Seoul is a vibrant city,🇰🇷🌃
Seriously questioning my life choices right now.,🤔😩🤷
Serving looks,🔥💅
Setting boundaries,🚧💖💪😌
She absolutely ate that solo,🎤👑💯
She really ate that choreography,💃👑💯
She really ate that dance battle,💃👑💯
She really snapped with that comeback,🔥💅
She really thought she ate with that comment,💀🧢
She really thought that was a good idea,🤡🤦
She served major looks at the party,🔥👑✨
She slipped on a banana peel,🤣🫵🍌
She snapped with that argument,🔥💅🗣️
She spilled the tea,☕️🐸👀
She understood the assignment,✅💯✨
She's acting so sus lately hmm,🤨👀🤔
She's gatekeeping,🤫🛍️
She's gossiping again,🗣️👂🙄
She's in her main character era,👑💅
She's living in her delulu era,💭👑
She's making passive remarks,🗣️🙄😒
She's making things awkward,😬🙄🤦
"She's my pookie, love her sm",🥰❤️🤞
She's my twin BSF for life,🤞👯💖
She's spilling the tea,☕️🐸
She's spitting facts,🗣️💯
She's yassified that meme,✨💅👑
Shee's acting so sus,🤨👀🤔
Shining,✨✨
Shocked beyond belief,😳🤯🫢
Shopping,🛍️💸💳
Shopping day,🛍️💸💳
Shopping spree,🛍️💄👗💸
Simping for this character,😍❤️
Simping hard for them,😍🥺
Singing my heart out at the karaoke bar with friends.,🎤🎶🧑‍🎤🧑‍🎤🥳
Single and ready to mingle,💃😎🎉🥂
Skibidi toilet is peak brain rot,🚽🧠😵‍💫
Slacklining between two trees,🌳🤸💪
"Sleigh all day, every day.",🛷😎💪🎄💯
Slow down,🐢🐌✋
"Smart home, smart lights",💡🏠📱🗣️✨
Smiling through the daily chaos,🤠🌪️😅
So beautiful,😍💖✨
So bitter,☕️😖🤢
So cringe,😬🤦
So critical,😒🙄😤
So cute,🥰🥺❤️
So excited for our anniversary dinner!,😍🍽️🥂
So excited for our date night!,😍💖🥂
So excited for our weekend getaway!,😍🚗🗺️
So excited for the beach trip,🏖️☀️🌊🥳
So excited for the holidays,🎄🎁🎉
So excited for the weekend getaway,✈️☀️🥳
So excited to finally meet your new baby!,😍👶💖
So excited to see you soon,🤩✈️❤️
So excited!,🎉🤩🙌🥳
So glad we cleared the air,😌✅🌬️
So glad we made up after that fight,😌✅🫂
So glad we resolved that argument,😌✅🤝
So glad we talked it through,😌✅🗣️
So happy for your engagement,💍😭💖
So happy the week is over,🥳😌💖
So happy they're finally together,💑💖🎉
So happy to be home,🏡❤️😌
So happy to relax at home,🏡😌💖
So hungry,😩😋🍔
So lucky,🍀🙏😊
So many red flags,🚩🚩🚩
So much fun,🎉🥳😄🤪
So much love in my heart,❤️🥰💖😌🙏
"So much work to do, feeling overwhelmed",😩🤯📚
So organized,✨✅👌💯
So proud,🏅🏆👏
So proud of you,👏🏆🏅😊
So romantic,❤️🌹🕯️😘
So salty,🧂😠
So sour,🍋😖😝
So sweet,🍬🍭🍯
So thrilled for your new baby!,👶🎉💖
So tired,😴😩💤
So wholesome,❤️😊
Sounds fishy,🧢🤥🐟
Sounds like a solid plan,😙👌💯
Spa day,🧖🥒🕯️😌💅
"Spa day at home with face masks, bubble baths, and candles.",🧖💅🛁🕯️😌
Sparkling clean,🧹🧼🗑️✨
Spelunking in a dark cave,🦇🔦🧗‍♂️
Spicy food,🌶️🔥🥵
Spicy Thai green curry,🍛🌶️🥥🍚🇹🇭
"Spill the beans, tell me everything",👀🗣️👂
Spill the tea,☕️🗣️
Spill the tea.,🫗☕
Spilling the tea rn,☕️🗣️
spittin bars,🗣️🔥💯
Spitting fire,🗣️🔥💯
Sporting event,⚽️🏀🏈🏆
Spotting a grizzly bear,🐻🌲👀😮
Spread love,❤️🤗💖🌍
Spring cleaning mode activated!,🧹✨💪
Spring is here,🌸🌷🦋☀️
Springtime allergies,🤧🌸🌳😩💊
Stand-up comedy.,😂🎤
Standing ovation,👏👏👏🤩🏆
Stargazing,🔭🌌✨🌠
Staring at the stars,🔭✨🌌🪐🌠
Stay focused,🎯🧠💪💯
Stay hydrated,💧💧💧💧💧
Stay positive,😊➕👍✨
"Stay positive, work hard, make it happen.",😊💪🧠➡️💥
Stay safe,🙏❤️🏠
Stay strong,💪💖🙏
Step out of your comfort zone,🚶➡️💥✨
Stirring up drama,🥄🙄🎭
Stonks go up,📈🚀😎
"Stop and smell the roses, enjoy the little things.",🌹👃😌💖✨
Stop being so extra,🙄💅
Stop bothering me right now please,😒🛑🙏
"Stop lying, I know the facts",🤥🔥😠
Stop the cap immediately,🧢🛑😠
Stop yapping and let me focus,🤫🙄
Storm is coming,⛈️⚡️🌪️
Stormy weather,⛈️🌪️⚡
Straight facts,✅💯🗣️
"Strive for progress, not perfection.",📈🚫💯💪➡️
Stuck in this traffic jam,😒🚗😤
Stuck in traffic,🚗🚙🚕😠
Studying biochemistry,🔬🧬🧪🧠💡
Studying for exams,📚✍️🧠🤯
"Success doesn't come to you, you go to it.",🏃➡️🏆💯
Success is a series of small wins.,🏆🏅✅📈
Such a noob at this game,🤦🎮📉
"Such a noob, can't even build",🤦🎮📉
"Such a noob, doesn't know the game",🤦🎮📉
"Such a noob, doesn't know the meta",🤦🎮📉
"Such a noob, doesn't understand the objective",🤦🎮📉
"Such a noob, keeps falling off",🤦🎮📉
Such a sweetheart,🥰💖😇
Such a sweetheart honestly,🥰💖😇
Summer party,☀️🍉😎💦
Sunbathing on a beach in Brazil,🏖️☀️😎🇧🇷👙
Sunday brunch with mimosas,🥂🍊🍳🥓
"Sunday Funday, let's make the most of it.",☀️😎🎉🥳💯
Sunday morning vibes,☕️📰
Sunday scaries,😔🗓️😟
"Sure, that sounds just fine",👍🙂
Surfing at Bondi Beach,🏄‍♀️🌊☀️🤙🇦🇺
Surprise!,🎁😮🎉
Surprised me with flowers,💐💖🥺
Sushi lover,🍣❤️😋
Sweater weather is better weather.,🍂🍁🧥☕️😌
Sweet dreams,😴🌙✨
Swimming with dolphins,🐬🌊😊💙
Swipe up,⬆️👆🔗
Taco lover,🌮❤️😋
Taco Tuesday is the best day of the week.,🌮😋🎉🥳🗓️
Tag a friend,👫👇
Take a look in the mirror,🤡🪞
Take care,🤗❤️🙏
Take my money,💸💳💰🙌
Taking my finals exams,🤯📝
Taking the L,😔📉🏳️
Tapas and sangria,🍤🍷🧀🥖
Tarot card reading,🔮🃏
Task is complete,✅👍💯
TBH I don't really like it,🤷😬
Tea lover,🍵❤️😌
Team brainstorming session,🤝💡✍️🧠🚀
Teamwork makes the dream work,🤝💪🏆✨
Technically that is wrong,☝️🤓❌
Tell me all the hot tea,☕️🤏🔥
Tell me everything now,☕🤏
Tell me more,🗣️👂🤔💬
Tell me your red flags,🚩🚩🚩
Terrible liar,🤥😅😳
